key,tex_file,tex_line,citation_context,present_in_bib,content_match_status,bib_metadata_status,action_needed,verified_title,verified_source,notes
Kim2023,manuscript.tex,101; 166,"Exposure data were derived from three independent East Asian population GWAS: the Korean Genome and Epidemiology Study (KoGES; $N = 72{,}298$; lipid traits LDL, TC, TG, total lipids) \cite{Kim2017,Kim2023}, BioBank Japan (BBJ; $N \approx 260{,}000$; LDL-C, TC, TG, HDL-C) \cite{Sakaue2021}, and the Taiwan Precision Medicine Initiative (TPMI; $N \approx 160{,}000$; LDL-C, TC, HDL-C) \cite{Yang2025}. The primary outcome was BBJ Glaucoma (Japanese; 5{,}765 cases among 177{,}351 participants) \cite{Sakaue2021}. The independent replication outcome was TPMI Glaucoma (Taiwanese; phecode 365; 12{,}092 cases, 306{,}505 controls) \cite{Yang2025}. Cross-ancestry validation used FinnGen POAG (Finnish; 342{,}499 participants) \cite{Kurki2023}. Subtype analyses used Luben et al.\ 2025 PACG (multi-ancestry) \cite{Luben2025} and FinnGen NTG \cite{Kurki2023}. BBJ Cataract \cite{Sakaue2021} and Taiwan Biobank (TWB) ocular outcomes (glaucoma, cataract, retinopathy, and macular degeneration; supplementary analyses and negative controls) \cite{Hsieh2025,Chen2016} were included for disease-specificity assessment. The GBMI POAG East Asian meta-analysis \cite{Faro2024} was used as supporting evidence only, as it includes BBJ participants. Table~\ref{tab:table1} summarizes all data sources. || KoGES & Korean & 72,298 & --- & LDL, TC, TG, Total lipids & \cite{Kim2017,Kim2023} & \footnotesize{pheweb.snu.ac.kr} \\",True,PASS_AFTER_BIB_EDIT,PASS_AFTER_EDIT,"completed: corrected authors, year, volume, issue, page, DOI","Genome-wide study on 72,298 individuals in Korean biobank data for 76 traits",Cell Genomics; 2022; 2(10):100189; DOI 10.1016/j.xgen.2022.100189,"Supports KoGES 72,298-person GWAS exposure source."
Kurki2023,manuscript.tex,101; 174; 175; 277,"Exposure data were derived from three independent East Asian population GWAS: the Korean Genome and Epidemiology Study (KoGES; $N = 72{,}298$; lipid traits LDL, TC, TG, total lipids) \cite{Kim2017,Kim2023}, BioBank Japan (BBJ; $N \approx 260{,}000$; LDL-C, TC, TG, HDL-C) \cite{Sakaue2021}, and the Taiwan Precision Medicine Initiative (TPMI; $N \approx 160{,}000$; LDL-C, TC, HDL-C) \cite{Yang2025}. The primary outcome was BBJ Glaucoma (Japanese; 5{,}765 cases among 177{,}351 participants) \cite{Sakaue2021}. The independent replication outcome was TPMI Glaucoma (Taiwanese; phecode 365; 12{,}092 cases, 306{,}505 controls) \cite{Yang2025}. Cross-ancestry validation used FinnGen POAG (Finnish; 342{,}499 participants) \cite{Kurki2023}. Subtype analyses used Luben et al.\ 2025 PACG (multi-ancestry) \cite{Luben2025} and FinnGen NTG \cite{Kurki2023}. BBJ Cataract \cite{Sakaue2021} and Taiwan Biobank (TWB) ocular outcomes (glaucoma, cataract, retinopathy, and macular degeneration; supplementary analyses and negative controls) \cite{Hsieh2025,Chen2016} were included for disease-specificity assessment. The GBMI POAG East Asian meta-analysis \cite{Faro2024} was used as supporting evidence only, as it includes BBJ participants. Table~\ref{tab:table1} summarizes all data sources. || FinnGen POAG & Finnish & 342,499 & --- & POAG (FinnGen R8) & \cite{Kurki2023} & \footnotesize{r8.finngen.fi} \\ || FinnGen NTG/XFG & Finnish & 342,499 & --- & NTG, XFG (FinnGen R8) & \cite{Kurki2023} & \footnotesize{r8.finngen.fi} \\ || The GWAS summary statistics analysed in this study are publicly available from the original data resources and their associated publications. Exposure summary statistics were obtained from the Korean Genome and Epidemiology Study (KoGES) \cite{Kim2017}, BioBank Japan \cite{Sakaue2021,Nagai2017}, and the Taiwan Precision Medicine Initiative (TPMI) \cite{Yang2025}. Outcome summary statistics were obtained from BioBank Japan \cite{Sakaue2021,Nagai2017}, TPMI phecode 365 \cite{Yang2025}, Taiwan Biobank (TWB) ophthalmic disease GWAS resources \cite{Hsieh2025,Chen2016}, FinnGen \cite{Kurki2023}, and UK Biobank/Pan-UK Biobank resources \cite{Bycroft2018,Karczewski2024}. No new individual-level data were generated. All summary results produced in this study, including the complete MR results, MVMR module results, conditional F-statistics, mediation analysis results, and sensitivity analysis summaries, are provided in the Supplementary Information and Supplementary\_Tables.xlsx.",True,PASS,PASS,none,FinnGen provides genetic insights from a well-phenotyped isolated population,Nature; 2023; 613(7944):508-518; DOI 10.1038/s41586-022-05473-8; PMID 36653562,Supports FinnGen cohort/resource citation.
Luben2025,manuscript.tex,101; 176,"Exposure data were derived from three independent East Asian population GWAS: the Korean Genome and Epidemiology Study (KoGES; $N = 72{,}298$; lipid traits LDL, TC, TG, total lipids) \cite{Kim2017,Kim2023}, BioBank Japan (BBJ; $N \approx 260{,}000$; LDL-C, TC, TG, HDL-C) \cite{Sakaue2021}, and the Taiwan Precision Medicine Initiative (TPMI; $N \approx 160{,}000$; LDL-C, TC, HDL-C) \cite{Yang2025}. The primary outcome was BBJ Glaucoma (Japanese; 5{,}765 cases among 177{,}351 participants) \cite{Sakaue2021}. The independent replication outcome was TPMI Glaucoma (Taiwanese; phecode 365; 12{,}092 cases, 306{,}505 controls) \cite{Yang2025}. Cross-ancestry validation used FinnGen POAG (Finnish; 342{,}499 participants) \cite{Kurki2023}. Subtype analyses used Luben et al.\ 2025 PACG (multi-ancestry) \cite{Luben2025} and FinnGen NTG \cite{Kurki2023}. BBJ Cataract \cite{Sakaue2021} and Taiwan Biobank (TWB) ocular outcomes (glaucoma, cataract, retinopathy, and macular degeneration; supplementary analyses and negative controls) \cite{Hsieh2025,Chen2016} were included for disease-specificity assessment. The GBMI POAG East Asian meta-analysis \cite{Faro2024} was used as supporting evidence only, as it includes BBJ participants. Table~\ref{tab:table1} summarizes all data sources. || Luben PACG & Multi-ancestry & 797,502 & 9,217 & PACG & \cite{Luben2025} & \footnotesize{GWAS Catalog} \\",True,PASS,PASS,none,GWAS for primary angle-closure glaucoma identifies loci related to ocular biometry and morphology,Nature Communications; 2025; DOI 10.1038/s41467-025-64949-z; PMID 41238566,Supports PACG-specific GWAS source and ocular biometry/morphology context.
Nagai2017,manuscript.tex,277,"The GWAS summary statistics analysed in this study are publicly available from the original data resources and their associated publications. Exposure summary statistics were obtained from the Korean Genome and Epidemiology Study (KoGES) \cite{Kim2017}, BioBank Japan \cite{Sakaue2021,Nagai2017}, and the Taiwan Precision Medicine Initiative (TPMI) \cite{Yang2025}. Outcome summary statistics were obtained from BioBank Japan \cite{Sakaue2021,Nagai2017}, TPMI phecode 365 \cite{Yang2025}, Taiwan Biobank (TWB) ophthalmic disease GWAS resources \cite{Hsieh2025,Chen2016}, FinnGen \cite{Kurki2023}, and UK Biobank/Pan-UK Biobank resources \cite{Bycroft2018,Karczewski2024}. No new individual-level data were generated. All summary results produced in this study, including the complete MR results, MVMR module results, conditional F-statistics, mediation analysis results, and sensitivity analysis summaries, are provided in the Supplementary Information and Supplementary\_Tables.xlsx.",True,PASS,PASS,none,Overview of the BioBank Japan Project: Study design and profile,Journal of Epidemiology; 2017; 27(3S):S2-S8; DOI 10.1016/j.je.2016.12.005; PMID 28189464,Supports BBJ resource citation.
Ridker2008,manuscript.tex,230,"Lipid traits did not show consistent protective associations with cataract (BBJ: LDL OR = 0.94, $p = 0.19$; total lipids OR = 0.87, $p = 1.4\times10^{-5}$), TWB retinopathy (total lipids OR = 0.87, $p = 0.30$), or TWB macular degeneration (total lipids OR = 1.10, $p = 0.52$). The total lipids--cataract association, though nominally significant, is discordant with randomized statin evidence: major statin trials demonstrated cardiovascular benefit from LDL-lowering (WOSCOPS \cite{Shepherd1995}, HPS \cite{HPS2002}, JUPITER \cite{Ridker2008}), while a meta-analysis of randomized trials found no clear cataract reduction with statin use \cite{Yu2017CataractMeta}. This isolated cataract result likely reflects horizontal pleiotropy rather than a causal effect. These results support specificity of the lipid protective effect to glaucoma pathology.",True,PASS_AFTER_TEXT_EDIT,PASS,"completed: used as cardiovascular LDL-lowering trial, not sole direct cataract endpoint evidence",Rosuvastatin to prevent vascular events in men and women with elevated C-reactive protein,New England Journal of Medicine; 2008; 359(21):2195-2207; DOI 10.1056/NEJMoa0807646; PMID 18997196,JUPITER supports major statin trial context; direct cataract claim now supported by Yu2017CataractMeta.
Sakaue2021,manuscript.tex,101; 167; 171; 178; 277,"Exposure data were derived from three independent East Asian population GWAS: the Korean Genome and Epidemiology Study (KoGES; $N = 72{,}298$; lipid traits LDL, TC, TG, total lipids) \cite{Kim2017,Kim2023}, BioBank Japan (BBJ; $N \approx 260{,}000$; LDL-C, TC, TG, HDL-C) \cite{Sakaue2021}, and the Taiwan Precision Medicine Initiative (TPMI; $N \approx 160{,}000$; LDL-C, TC, HDL-C) \cite{Yang2025}. The primary outcome was BBJ Glaucoma (Japanese; 5{,}765 cases among 177{,}351 participants) \cite{Sakaue2021}. The independent replication outcome was TPMI Glaucoma (Taiwanese; phecode 365; 12{,}092 cases, 306{,}505 controls) \cite{Yang2025}. Cross-ancestry validation used FinnGen POAG (Finnish; 342{,}499 participants) \cite{Kurki2023}. Subtype analyses used Luben et al.\ 2025 PACG (multi-ancestry) \cite{Luben2025} and FinnGen NTG \cite{Kurki2023}. BBJ Cataract \cite{Sakaue2021} and Taiwan Biobank (TWB) ocular outcomes (glaucoma, cataract, retinopathy, and macular degeneration; supplementary analyses and negative controls) \cite{Hsieh2025,Chen2016} were included for disease-specificity assessment. The GBMI POAG East Asian meta-analysis \cite{Faro2024} was used as supporting evidence only, as it includes BBJ participants. Table~\ref{tab:table1} summarizes all data sources. || BBJ & Japanese & $\sim$260,000 & --- & LDL-C, TC, TG, HDL-C & \cite{Sakaue2021} & \footnotesize{biobankportal.hgc.jp} \\ || BBJ Glaucoma & Japanese & 177,351 & 5,765 & ICD glaucoma & \cite{Sakaue2021} & \footnotesize{biobankportal.hgc.jp} \\ || BBJ Cataract & Japanese & 177,351 & --- & ICD cataract & \cite{Sakaue2021} & \footnotesize{biobankportal.hgc.jp} \\ || The GWAS summary statistics analysed in this study are publicly available from the original data resources and their associated publications. Exposure summary statistics were obtained from the Korean Genome and Epidemiology Study (KoGES) \cite{Kim2017}, BioBank Japan \cite{Sakaue2021,Nagai2017}, and the Taiwan Precision Medicine Initiative (TPMI) \cite{Yang2025}. Outcome summary statistics were obtained from BioBank Japan \cite{Sakaue2021,Nagai2017}, TPMI phecode 365 \cite{Yang2025}, Taiwan Biobank (TWB) ophthalmic disease GWAS resources \cite{Hsieh2025,Chen2016}, FinnGen \cite{Kurki2023}, and UK Biobank/Pan-UK Biobank resources \cite{Bycroft2018,Karczewski2024}. No new individual-level data were generated. All summary results produced in this study, including the complete MR results, MVMR module results, conditional F-statistics, mediation analysis results, and sensitivity analysis summaries, are provided in the Supplementary Information and Supplementary\_Tables.xlsx.",True,PASS,PASS,none,A cross-population atlas of genetic associations for 220 human phenotypes,Nature Genetics; 2021; 53(10):1415-1424; DOI 10.1038/s41588-021-00931-x; PMID 34594039,Supports BBJ 220-phenotype GWAS atlas and BBJ exposure/outcome sources.
Sanderson2019,manuscript.tex,113,"MVMR was performed to identify independent causal effects of key exposures \cite{Sanderson2019}. The union of instrumental variables across exposures was used, with joint LD clumping based on the minimum $p$-value across exposures; effect estimates for these joint instruments were then retrieved from the original GWAS and estimated using MVMR-IVW. Models required the number of joint SNPs to be no less than $\max(n_{\text{exposure}}+1, 5)$, and Sanderson--Windmeijer conditional F-statistics \cite{Sanderson2021} were computed to evaluate instrument strength in the multivariable context. Additionally, we explored whether the lipid--glaucoma association was mediated through intraocular pressure (IOP) using a two-step product-of-coefficients mediation model, with the IOP--glaucoma risk parameter derived from Khawaja et al.\ \cite{Khawaja2018}.",True,PASS,PASS,none,An examination of multivariable Mendelian randomization in the single-sample and two-sample summary data settings,International Journal of Epidemiology; 2019; 48(3):713-727; DOI 10.1093/ije/dyy262; PMID 30535378,Supports MVMR framework.
Sanderson2021,manuscript.tex,113,"MVMR was performed to identify independent causal effects of key exposures \cite{Sanderson2019}. The union of instrumental variables across exposures was used, with joint LD clumping based on the minimum $p$-value across exposures; effect estimates for these joint instruments were then retrieved from the original GWAS and estimated using MVMR-IVW. Models required the number of joint SNPs to be no less than $\max(n_{\text{exposure}}+1, 5)$, and Sanderson--Windmeijer conditional F-statistics \cite{Sanderson2021} were computed to evaluate instrument strength in the multivariable context. Additionally, we explored whether the lipid--glaucoma association was mediated through intraocular pressure (IOP) using a two-step product-of-coefficients mediation model, with the IOP--glaucoma risk parameter derived from Khawaja et al.\ \cite{Khawaja2018}.",True,PASS,PASS,none,Testing and correcting for weak and pleiotropic instruments in two-sample multivariable Mendelian randomization,Statistics in Medicine; 2021; 40(25):5434-5452; DOI 10.1002/sim.9133; PMID 34338327,Supports Sanderson-Windmeijer conditional F-statistics/weak-instrument assessment in MVMR.
Shen2026,manuscript.tex,86; 97; 242,"However, Asian and European populations differ substantially in glaucoma subtype composition and disease burden \cite{Chan2015}, and population differences in genetic architecture and environmental exposures may limit whether MR findings from European populations can be generalized to Asian populations. Currently, MR studies on glaucoma in Asian populations are limited. Regarding glycemic traits, Hanyuda et al. \cite{Hanyuda2023} reported a positive association between fasting glucose and POAG in a Japanese population (OR = 1.48), but other Asian MR studies have reached inconsistent conclusions. Recent lipid-species-level MR has identified specific phosphatidylcholine species as protective for glaucoma in Asian populations \cite{Shen2026}, but broader conventional lipid trait--glaucoma associations---particularly with independent cross-cohort replication, subtype resolution, and systematic mechanistic exclusion---remain unexplored. Furthermore, previous studies have largely been fragmented analyses of single exposure--outcome pairs, with varying data sources, outcome definitions, and robustness criteria, making direct comparisons difficult; few studies have used multivariable MR (MVMR) to evaluate independent effects of exposures. || This was a two-sample MR study investigating the causal association between lipid levels and glaucoma in East Asian populations. The lipid--glaucoma hypothesis was pre-specified based on biological plausibility and prior observational evidence, including recent demonstration that specific phosphatidylcholine species protect trabecular meshwork cells from glaucomatous injury \cite{Shen2026}. A systematic screen of metabolic exposure--ocular outcome combinations identified lipid traits as the only exposure category achieving FDR-corrected significance for glaucoma; Supplementary Table~S1 reports the 84 v7-filtered univariable MR results retained for complete reporting. The present analysis focused on lipid--glaucoma associations with expanded multi-source cross-validation: three independent lipid instrument sources (Korean KoGES, Japanese BBJ, and Taiwanese TPMI) were used to triangulate the causal estimate across non-overlapping exposure--outcome pairs. The analysis followed STROBE-MR reporting guidelines \cite{Skrivankova2021} and was based on three core MR assumptions: genetic instrumental variables are significantly associated with the exposure, are independent of potential confounders, and affect the outcome only through the exposure. || The divergent effects by glaucoma subtype---protection for open-angle forms (POAG) and risk for angle-closure forms (PACG)---provide mechanistic insight. In POAG, where trabecular meshwork dysfunction drives aqueous outflow resistance, phosphatidylcholine-mediated protection of trabecular meshwork cells---through TGFBR3--AMPK/mTOR signaling reducing oxidative stress and fibrosis---provides a plausible cellular mechanism for a lipid effect not primarily mediated through IOP in our exploratory mediation analyses \cite{Shen2026}. In PACG, where anatomical factors (shallow anterior chamber, lens thickness) are primary, the opposite direction of effect may reflect anatomical pathways distinct from trabecular dysfunction. The null NTG result further suggests the lipid effect is specific to conditions involving trabecular pathology rather than purely vascular or neurodegenerative mechanisms. The exploratory protective association observed for pseudoexfoliation glaucoma (XFG) with BBJ instruments may reflect shared trabecular meshwork pathology between POAG and XFG.",True,PASS,PASS,none,Phosphatidylcholine modulates trabecular meshwork resilience to glaucomatous injury via regulation of TGFBR3 signaling,International Journal of Surgery; 2026; 112(3):6456-6470; DOI 10.1097/JS9.0000000000004321; PMID 41664644,Strongly supports PC/TGFBR3-AMPK-mTOR trabecular meshwork mechanism and biological plausibility.
Shepherd1995,manuscript.tex,230,"Lipid traits did not show consistent protective associations with cataract (BBJ: LDL OR = 0.94, $p = 0.19$; total lipids OR = 0.87, $p = 1.4\times10^{-5}$), TWB retinopathy (total lipids OR = 0.87, $p = 0.30$), or TWB macular degeneration (total lipids OR = 1.10, $p = 0.52$). The total lipids--cataract association, though nominally significant, is discordant with randomized statin evidence: major statin trials demonstrated cardiovascular benefit from LDL-lowering (WOSCOPS \cite{Shepherd1995}, HPS \cite{HPS2002}, JUPITER \cite{Ridker2008}), while a meta-analysis of randomized trials found no clear cataract reduction with statin use \cite{Yu2017CataractMeta}. This isolated cataract result likely reflects horizontal pleiotropy rather than a causal effect. These results support specificity of the lipid protective effect to glaucoma pathology.",True,PASS_AFTER_TEXT_EDIT,PASS,"completed: used as cardiovascular LDL-lowering trial, not direct cataract endpoint evidence",Prevention of coronary heart disease with pravastatin in men with hypercholesterolemia,New England Journal of Medicine; 1995; 333(20):1301-1307; DOI 10.1056/NEJM199511163332001; PMID 7566020,WOSCOPS supports statin LDL-lowering cardiovascular benefit; direct cataract interpretation is now supported by Yu2017CataractMeta.
Skrivankova2021,manuscript.tex,97,"This was a two-sample MR study investigating the causal association between lipid levels and glaucoma in East Asian populations. The lipid--glaucoma hypothesis was pre-specified based on biological plausibility and prior observational evidence, including recent demonstration that specific phosphatidylcholine species protect trabecular meshwork cells from glaucomatous injury \cite{Shen2026}. A systematic screen of metabolic exposure--ocular outcome combinations identified lipid traits as the only exposure category achieving FDR-corrected significance for glaucoma; Supplementary Table~S1 reports the 84 v7-filtered univariable MR results retained for complete reporting. The present analysis focused on lipid--glaucoma associations with expanded multi-source cross-validation: three independent lipid instrument sources (Korean KoGES, Japanese BBJ, and Taiwanese TPMI) were used to triangulate the causal estimate across non-overlapping exposure--outcome pairs. The analysis followed STROBE-MR reporting guidelines \cite{Skrivankova2021} and was based on three core MR assumptions: genetic instrumental variables are significantly associated with the exposure, are independent of potential confounders, and affect the outcome only through the exposure.",True,PASS,PASS,none,Strengthening the Reporting of Observational Studies in Epidemiology Using Mendelian Randomization: The STROBE-MR Statement,JAMA; 2021; 326(16):1614-1621; DOI 10.1001/jama.2021.18236; PMID 34698778,Supports STROBE-MR reporting guideline statement.
Tham2014,manuscript.tex,82,"Glaucoma is the leading cause of irreversible blindness globally, with an estimated 110 million patients by 2040, and Asian populations will account for the largest proportion of cases worldwide \cite{Tham2014}. Observational studies have suggested associations between metabolic factors (e.g., dyslipidemia, hyperglycemia) and glaucoma risk; however, these associations are susceptible to confounding bias and reverse causation. Establishing the causal relationships between metabolic factors and glaucoma is of particular importance for understanding disease mechanisms and exploring preventive strategies beyond intraocular pressure (IOP) lowering.",True,PASS,PASS,none,Global prevalence of glaucoma and projections of glaucoma burden through 2040: a systematic review and meta-analysis,Ophthalmology; 2014; 121(11):2081-2090; DOI 10.1016/j.ophtha.2014.05.013; PMID 24974815,"Supports global glaucoma burden and 2040 projections, including large Asian burden."
Verbanck2018,manuscript.tex,109,"The inverse-variance weighted (IVW) method served as the primary method for univariable MR analysis \cite{Burgess2013}, implemented using a multiplicative random-effects model to accommodate potential heterogeneity across exposure--outcome combinations. Analyses simultaneously implemented MR-Egger regression \cite{Bowden2015}, weighted median \cite{Bowden2016}, and mode-based estimation (simple/weighted mode) \cite{Hartwig2017} to assess robustness. Standard errors for the weighted median and mode methods were estimated using 1,000 bootstrap replicates. Sensitivity analyses included Cochran's Q statistic, MR-Egger intercept test, MR-PRESSO \cite{Verbanck2018}, and leave-one-out analysis. MR-PRESSO global test was based on 1,000 simulations, with outlier SNPs identified using Bonferroni correction and excluded before re-estimating IVW results. Final results were based on IVW, with priority given to Asian exposure--outcome combinations; cross-ancestry analyses served as external consistency evidence. Complete results and analysis code are available in the supplementary materials.",True,PASS,PASS,none,Detection of widespread horizontal pleiotropy in causal relationships inferred from Mendelian randomization between complex traits and diseases,Nature Genetics; 2018; 50(5):693-698; DOI 10.1038/s41588-018-0099-7; PMID 29686387,Supports MR-PRESSO pleiotropy/outlier detection.
Xu2020,manuscript.tex,84,"Mendelian randomization (MR) leverages genetic variants as instrumental variables to infer causal relationships between exposures and outcomes in observational data, effectively overcoming confounding bias and reverse causation \cite{Davey2014}. In recent years, the application of MR methods in ophthalmology has grown rapidly. In European populations, several MR studies have investigated the causal associations between metabolic factors and glaucoma, but with inconsistent conclusions: Xu et al. \cite{Xu2020} found no causal association between lipid traits and primary open-angle glaucoma (POAG), while other studies have suggested heterogeneity across glaucoma subtypes and metabolic exposures \cite{Hu2022,Kang2024}.",True,PASS,PASS,none,Plasma lipid levels and risk of primary open angle glaucoma: a genetic study using Mendelian randomization,BMC Ophthalmology; 2020; 20:390; DOI 10.1186/s12886-020-01661-0; PMID 33008364,Supports prior European lipid-trait MR reporting no causal association with POAG.
Yang2025,manuscript.tex,101; 168; 172; 277,"Exposure data were derived from three independent East Asian population GWAS: the Korean Genome and Epidemiology Study (KoGES; $N = 72{,}298$; lipid traits LDL, TC, TG, total lipids) \cite{Kim2017,Kim2023}, BioBank Japan (BBJ; $N \approx 260{,}000$; LDL-C, TC, TG, HDL-C) \cite{Sakaue2021}, and the Taiwan Precision Medicine Initiative (TPMI; $N \approx 160{,}000$; LDL-C, TC, HDL-C) \cite{Yang2025}. The primary outcome was BBJ Glaucoma (Japanese; 5{,}765 cases among 177{,}351 participants) \cite{Sakaue2021}. The independent replication outcome was TPMI Glaucoma (Taiwanese; phecode 365; 12{,}092 cases, 306{,}505 controls) \cite{Yang2025}. Cross-ancestry validation used FinnGen POAG (Finnish; 342{,}499 participants) \cite{Kurki2023}. Subtype analyses used Luben et al.\ 2025 PACG (multi-ancestry) \cite{Luben2025} and FinnGen NTG \cite{Kurki2023}. BBJ Cataract \cite{Sakaue2021} and Taiwan Biobank (TWB) ocular outcomes (glaucoma, cataract, retinopathy, and macular degeneration; supplementary analyses and negative controls) \cite{Hsieh2025,Chen2016} were included for disease-specificity assessment. The GBMI POAG East Asian meta-analysis \cite{Faro2024} was used as supporting evidence only, as it includes BBJ participants. Table~\ref{tab:table1} summarizes all data sources. || TPMI & Taiwanese & $\sim$160,000 & --- & LDL-C, TC, HDL-C & \cite{Yang2025} & \footnotesize{tpmi.ibms.sinica.edu.tw} \\ || TPMI Glaucoma & Taiwanese & 318,597 & 12,092 & Phecode 365 & \cite{Yang2025} & \footnotesize{tpmi.ibms.sinica.edu.tw} \\ || The GWAS summary statistics analysed in this study are publicly available from the original data resources and their associated publications. Exposure summary statistics were obtained from the Korean Genome and Epidemiology Study (KoGES) \cite{Kim2017}, BioBank Japan \cite{Sakaue2021,Nagai2017}, and the Taiwan Precision Medicine Initiative (TPMI) \cite{Yang2025}. Outcome summary statistics were obtained from BioBank Japan \cite{Sakaue2021,Nagai2017}, TPMI phecode 365 \cite{Yang2025}, Taiwan Biobank (TWB) ophthalmic disease GWAS resources \cite{Hsieh2025,Chen2016}, FinnGen \cite{Kurki2023}, and UK Biobank/Pan-UK Biobank resources \cite{Bycroft2018,Karczewski2024}. No new individual-level data were generated. All summary results produced in this study, including the complete MR results, MVMR module results, conditional F-statistics, mediation analysis results, and sensitivity analysis summaries, are provided in the Supplementary Information and Supplementary\_Tables.xlsx.",True,PASS,PASS,none,The Taiwan Precision Medicine Initiative provides a cohort for large-scale studies,Nature; 2025; 648(8092):117-127; DOI 10.1038/s41586-025-09680-x; PMID 41092961,"Supports TPMI cohort/resource citation for TPMI lipid exposures and phecode 365 glaucoma outcome; exact GWAS N and case/control counts are analysis-file/config values, not taken from the citation."
Yu2017CataractMeta,manuscript.tex,230,"Lipid traits did not show consistent protective associations with cataract (BBJ: LDL OR = 0.94, $p = 0.19$; total lipids OR = 0.87, $p = 1.4\times10^{-5}$), TWB retinopathy (total lipids OR = 0.87, $p = 0.30$), or TWB macular degeneration (total lipids OR = 1.10, $p = 0.52$). The total lipids--cataract association, though nominally significant, is discordant with randomized statin evidence: major statin trials demonstrated cardiovascular benefit from LDL-lowering (WOSCOPS \cite{Shepherd1995}, HPS \cite{HPS2002}, JUPITER \cite{Ridker2008}), while a meta-analysis of randomized trials found no clear cataract reduction with statin use \cite{Yu2017CataractMeta}. This isolated cataract result likely reflects horizontal pleiotropy rather than a causal effect. These results support specificity of the lipid protective effect to glaucoma pathology.",True,PASS_AFTER_ADD,PASS_AFTER_ADD,completed: added to support randomized-trial cataract interpretation directly,Statin Use and the Risk of Cataracts: A Systematic Review and Meta-Analysis,Journal of the American Heart Association; 2017; 6(3):e004180; DOI 10.1161/JAHA.116.004180; PMID 28320745,"Meta-analysis reports randomized-trial pooled RR 0.89 (95% CI 0.72-1.10), supporting no clear cataract reduction with statin use."
